stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Usuario\Desktop\Jogos\Pong CodeBlocks\ProjetoPong\bin\Debug\allegro5.cfg r
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.24075] al_display->vt=00000000007f9ca0
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.24169] PathFindOnPath found: C:\Windows\system32\d3dx9_43.dll
system   D            wsystem.c:795  load_library_at_path             [   0.24182] Calling LoadLibrary C:\Windows\system32\d3dx9_43.dll
system   I            wsystem.c:798  load_library_at_path             [   0.24323] Loaded C:\Windows\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.24343] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.24364] added dtor for queue 00000000007fd700, func 00007ffb8410cc4e
dtor     D               dtor.c:196  _al_register_destructor          [   0.24379] added dtor for bitmap 00000000007fed30, func 00007ffb840e1bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.24862] added dtor for bitmap 0000000000714730, func 00007ffb840e1bf8
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.25465] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.25483] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.25489] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.25495] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.25501] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.25508] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.25513] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.25519] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.25525] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.25530] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.25536] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.25543] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.25549] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.25656] added dtor for bitmap 0000000000732500, func 00007ffb840e1bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.25922] added dtor for sub_bitmap 0000000000765cc0, func 00007ffb840e1bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.25946] added dtor for sub_bitmap 0000000000765e80, func 00007ffb840e1bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.25954] added dtor for sub_bitmap 0000000000766040, func 00007ffb840e1bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.25961] added dtor for sub_bitmap 0000000000766200, func 00007ffb840e1bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.25969] added dtor for sub_bitmap 00000000007663c0, func 00007ffb840e1bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.25976] added dtor for sub_bitmap 0000000000766d90, func 00007ffb840e1bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.25986] added dtor for sub_bitmap 0000000000766f50, func 00007ffb840e1bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.25993] added dtor for sub_bitmap 0000000000767110, func 00007ffb840e1bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.26000] added dtor for sub_bitmap 00000000007672d0, func 00007ffb840e1bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.26008] added dtor for sub_bitmap 0000000000767490, func 00007ffb840e1bf8
